Algorithm,Dataset,Treatment,F1,Accuracy,Runtime,Sex: AOD,Sex: EOD,Sex: SPD,Race/Age: AOD,Race/Age: EOD,Race/Age: SPD
SVM,adult,FairBalanceClass,\cellcolor{green!70}55 (0),\cellcolor{red!70}73 (1),\cellcolor{red!70}20 (0),\cellcolor{green!70}-3 (5),\cellcolor{green!70}-3 (6),\cellcolor{green!70}-10 (5),\cellcolor{green!70}-2 (5),\cellcolor{green!70}-3 (7),\cellcolor{green!15}-7 (4)
SVM,german,None,17 (13),69 (4),0 (0),14 (17),22 (26),12 (14),28 (39),34 (42),26 (35)
SVM,german,FairBalance,\cellcolor{red!70}0 (5),69 (2),\cellcolor{red!70}0 (0),\cellcolor{green!70}0 (0),\cellcolor{green!70}0 (0),\cellcolor{green!70}0 (0),\cellcolor{green!70}0 (2),\cellcolor{green!70}0 (2),\cellcolor{green!70}0 (1)
SVM,german,FairBalanceClass,\cellcolor{green!70}50 (4),\cellcolor{red!70}60 (2),\cellcolor{red!70}0 (0),\cellcolor{green!35}3 (9),\cellcolor{green!35}2 (16),\cellcolor{green!15}3 (9),\cellcolor{green!70}5 (10),\cellcolor{green!70}4 (10),\cellcolor{green!35}9 (8)
DT,compas,None,61 (1),65 (1),0 (0),14 (6),17 (7),17 (5),19 (3),22 (5),22 (3)
DT,compas,FairBalance,\cellcolor{red!15}60 (2),\cellcolor{red!70}64 (1),\cellcolor{red!70}1 (0),\cellcolor{green!70}1 (9),\cellcolor{green!70}0 (10),\cellcolor{green!70}5 (8),\cellcolor{green!70}6 (8),\cellcolor{green!70}10 (9),\cellcolor{green!70}10 (8)
DT,compas,FairBalanceClass,\cellcolor{green!35}62 (1),\cellcolor{red!70}64 (1),\cellcolor{red!70}1 (0),\cellcolor{green!70}1 (7),\cellcolor{green!70}3 (8),\cellcolor{green!70}4 (7),\cellcolor{green!70}2 (8),\cellcolor{green!70}4 (10),\cellcolor{green!70}6 (9)
DT,adult,None,49 (1),80 (0),7 (0),-28 (1),-46 (1),-21 (1),-10 (2),-16 (4),-9 (1)
DT,adult,FairBalance,\cellcolor{red!70}42 (1),\cellcolor{red!70}78 (0),\cellcolor{red!70}16 (0),\cellcolor{green!70}7 (2),\cellcolor{green!70}11 (3),\cellcolor{green!70}0 (1),\cellcolor{green!70}0 (3),\cellcolor{green!70}0 (6),\cellcolor{green!70}-2 (2)
DT,adult,FairBalanceClass,\cellcolor{green!70}53 (0),\cellcolor{red!70}70 (1),\cellcolor{red!70}16 (0),\cellcolor{green!70}2 (5),\cellcolor{green!70}0 (5),\cellcolor{green!70}-5 (5),\cellcolor{green!70}3 (5),\cellcolor{green!70}5 (7),\cellcolor{green!70}-2 (5)
DT,german,None,22 (6),69 (2),0 (0),16 (7),23 (11),15 (7),38 (11),47 (14),36 (10)
DT,german,FairBalance,\cellcolor{red!15}21 (8),\cellcolor{red!15}68 (2),\cellcolor{red!70}0 (0),\cellcolor{green!35}13 (10),\cellcolor{green!35}18 (15),\cellcolor{green!35}12 (10),\cellcolor{green!70}28 (14),\cellcolor{green!70}36 (24),\cellcolor{green!70}25 (13)
DT,german,FairBalanceClass,\cellcolor{green!70}49 (3),\cellcolor{red!70}57 (3),\cellcolor{red!70}0 (0),\cellcolor{green!70}9 (8),\cellcolor{green!70}9 (7),\cellcolor{green!70}10 (10),\cellcolor{green!70}-7 (21),\cellcolor{green!70}-7 (23),\cellcolor{green!70}-3 (22)
RF,compas,None,61 (2),66 (1),20 (2),13 (5),18 (7),16 (5),19 (4),23 (7),22 (4)
RF,compas,FairBalance,\cellcolor{red!15}60 (2),\cellcolor{red!35}65 (1),21 (4),\cellcolor{green!70}3 (5),\cellcolor{green!70}5 (8),\cellcolor{green!70}7 (6),\cellcolor{green!70}9 (7),\cellcolor{green!70}13 (8),\cellcolor{green!70}13 (7)
RF,compas,FairBalanceClass,\cellcolor{green!15}62 (1),\cellcolor{red!70}64 (0),\cellcolor{green!35}16 (4),\cellcolor{green!70}3 (7),\cellcolor{green!70}6 (7),\cellcolor{green!70}7 (7),\cellcolor{green!70}-1 (7),\cellcolor{green!70}1 (7),\cellcolor{green!70}1 (6)
RF,adult,None,49 (1),80 (0),124 (11),-28 (1),-46 (2),-21 (1),-10 (2),-16 (4),-10 (1)
RF,adult,FairBalance,\cellcolor{red!70}42 (0),\cellcolor{red!70}78 (0),\cellcolor{green!35}111 (4),\cellcolor{green!70}8 (1),\cellcolor{green!70}12 (3),\cellcolor{green!70}0 (1),\cellcolor{green!70}0 (2),\cellcolor{green!70}2 (5),\cellcolor{green!70}-2 (1)
RF,adult,FairBalanceClass,\cellcolor{green!70}54 (1),\cellcolor{red!70}71 (1),\cellcolor{green!15}111 (18),\cellcolor{green!70}0 (4),\cellcolor{green!70}0 (5),\cellcolor{green!70}-7 (4),\cellcolor{green!70}1 (5),\cellcolor{green!70}3 (6),\cellcolor{green!70}-4 (5)
RF,german,None,24 (6),69 (2),9 (0),20 (6),25 (8),18 (7),37 (12),50 (11),35 (11)
RF,german,FairBalance,\cellcolor{red!35}22 (9),69 (3),\cellcolor{red!35}9 (0),\cellcolor{green!70}13 (14),\cellcolor{green!35}21 (20),\cellcolor{green!70}11 (11),\cellcolor{green!35}31 (19),\cellcolor{green!35}42 (29),\cellcolor{green!35}29 (16)
RF,german,FairBalanceClass,\cellcolor{green!70}49 (5),\cellcolor{red!70}58 (5),\cellcolor{red!35}9 (0),\cellcolor{green!70}6 (9),\cellcolor{green!70}9 (14),\cellcolor{green!70}8 (11),\cellcolor{green!70}-8 (15),\cellcolor{green!70}-4 (19),\cellcolor{green!70}-4 (12)
NB,compas,None,64 (1),65 (0),0 (0),36 (3),39 (6),39 (3),26 (3),29 (3),29 (2)
NB,compas,FairBalance,\cellcolor{red!35}63 (1),\cellcolor{red!35}64 (1),\cellcolor{red!70}1 (0),\cellcolor{green!70}10 (3),\cellcolor{green!70}9 (5),\cellcolor{green!70}13 (3),\cellcolor{green!70}16 (2),\cellcolor{green!70}16 (3),\cellcolor{green!70}19 (3)
NB,compas,FairBalanceClass,\cellcolor{red!15}63 (2),\cellcolor{red!70}64 (1),\cellcolor{red!70}1 (0),\cellcolor{green!70}9 (3),\cellcolor{green!70}9 (6),\cellcolor{green!70}13 (2),\cellcolor{green!70}17 (2),\cellcolor{green!70}16 (4),\cellcolor{green!70}20 (2)
NB,adult,None,50 (0),56 (0),6 (0),-6 (1),-5 (1),-14 (0),-4 (1),-4 (1),-8 (1)
NB,adult,FairBalance,\cellcolor{red!70}48 (0),\cellcolor{red!70}53 (0),\cellcolor{red!70}15 (0),\cellcolor{green!70}0 (0),\cellcolor{green!70}0 (1),\cellcolor{green!70}-5 (0),\cellcolor{green!70}-1 (1),\cellcolor{green!70}-1 (2),\cellcolor{green!70}-5 (1)
NB,adult,FairBalanceClass,\cellcolor{red!70}45 (3),\cellcolor{red!70}46 (7),\cellcolor{red!70}15 (0),\cellcolor{green!70}1 (1),\cellcolor{green!70}1 (1),\cellcolor{green!70}-2 (3),\cellcolor{green!70}-1 (1),\cellcolor{green!70}-1 (1),\cellcolor{green!70}-4 (2)
NB,german,None,48 (3),62 (4),0 (0),16 (17),18 (18),16 (14),28 (17),27 (20),30 (15)
NB,german,FairBalance,48 (5),\cellcolor{red!15}61 (3),\cellcolor{red!70}0 (0),\cellcolor{green!35}7 (6),\cellcolor{green!35}9 (14),\cellcolor{green!70}8 (5),\cellcolor{green!70}14 (8),\cellcolor{green!70}12 (11),\cellcolor{green!70}16 (8)
NB,german,FairBalanceClass,\cellcolor{green!15}49 (5),\cellcolor{red!15}60 (2),\cellcolor{red!70}0 (0),\cellcolor{green!70}5 (6),\cellcolor{green!70}7 (10),\cellcolor{green!70}5 (5),\cellcolor{green!70}9 (7),\cellcolor{green!70}11 (16),\cellcolor{green!70}14 (5)
